player,country,first_place,second_place,third_place,earnings
M0nkey M00n,France,39,17,19,975382
Atomic,United States,35,23,21,761960
Vatira,France,40,10,11,662703
Daniel,United States,44,23,19,638686
BeastMode,United States,25,12,16,623924
Trk511,Saudi Arabia,73,19,8,604122
Seikoo,France,21,11,9,594638
Alpha54,France,25,18,12,589799
JKnaps,Canada,46,30,23,589753
Chicago,United States,28,18,21,586876
yANXNZ,Brazil,32,9,15,571641
Rw9,Saudi Arabia,46,22,14,561017
Firstkiller,United States,65,24,26,560619
GarrettG,United States,55,39,24,554227
Kaydop,France,100,56,12,542325
jstn.,United States,33,27,17,528576
rise.,England,21,16,14,528233
ExoTiiK,France,24,9,16,503400
SquishyMuffinz,Canada,67,29,18,497410
Kiileerrz,Saudi Arabia,41,18,12,491817
Atow.,Belgium,56,17,14,482809
Extra,France,33,8,10,471792
dralii,Morocco,29,14,8,468696
Sypical,United States,30,16,20,448092
Turbopolsa,Sweden,61,27,15,448061
zen,France,20,11,11,445660
Fairy Peak!,France,77,52,15,425299
Radosin,France,17,11,10,412592
caard,Brazil,25,21,18,398344
ApparentlyJack,England,23,15,17,385948
itachi,Morocco,8,15,18,376867
AYYJAYY,United States,21,15,28,368561
Joyo,England,22,10,13,353730
Ahmad,Saudi Arabia,55,20,8,352933
caiotg1,Brazil,34,18,15,346493
Arsenal,United States,29,21,24,338573
Comm,United States,12,5,16,335922
Joreuz,Netherlands,17,8,17,331808
torment,United States,53,19,21,326076
Retals,United States,31,17,22,324682
Archie,England,10,9,17,323528
Chronic,United States,20,17,12,323041
mist,United States,20,22,17,322009
noly,England,12,12,12,320379
ViolentPanda,Netherlands,58,22,11,310587
Scrub Killa,Scotland,35,24,18,304532
Torsos,Australia,72,21,15,287586
Deevo,England,44,24,22,269926
M7sn,Saudi Arabia,15,20,19,262714
oKhaliD,Saudi Arabia,58,18,6,256746
MaRc_By_8.,Spain,30,10,11,248679
gimmick,United States,24,10,11,246896
Oski,Poland,10,10,11,242632
Metsanauris,Finland,24,30,14,238080
AztraL,Belgium,8,16,18,229324
Rizzo,United States,36,20,12,225839
Nwpo,Saudi Arabia,11,19,8,224454
Lj,United States,26,14,13,221550
crr,Spain,11,11,14,212118
Chausette45,Belgium,32,38,16,210688
Lostt,Brazil,29,6,6,208174
Reysbull,Chile,29,16,17,201130
oaly.,Netherlands,12,8,12,183965
ajg,Argentina,25,10,17,181224
Fever,Australia,32,9,15,181173
AcroniK.,Portugal,9,8,4,180065
DRUFINHO,Brazil,22,7,17,174819
Amphis,Australia,37,16,17,174087
Rezears,Germany,41,27,12,169657
hockser,United States,12,10,12,164316
AtomiK,Spain,19,11,15,159981
Kronovi,United States,41,27,18,159913
Ferra,France,18,27,10,156557
Gyro.,United States,24,9,15,155602
bananahead,Australia,24,15,9,154881
Dorito,Spain,9,5,7,152413
Yukeo,Austria,25,18,14,150705
kuxir97,Italy,69,33,14,150129
Fireburner,United States,29,21,14,150005
Kassio,France,16,15,14,146350
RelatingWave,England,5,11,10,144635
Kamii,New Zealand,37,17,12,143884
remkoe,Netherlands,53,29,10,139988
eekso,England,13,13,13,139531
kv1,Brazil,8,16,13,139475
Allushin,Canada,12,9,15,138000
Express,Australia,28,24,12,127079
MaJicBear,United States,22,11,14,124325
juicy,France,12,12,9,122085
shad,Argentina,23,10,9,121274
Tox,Germany,34,12,15,118513
LionBlaze,United States,34,16,9,117384
ThO.,Netherlands,16,18,7,113380
Superlachie,Australia,14,21,18,107895
Taroco,Canada,54,14,9,106455
nass,Morocco,22,9,9,104776
EyeIgnite,England,6,10,4,103246
Motta,Brazil,7,15,5,102436
Aztromick,Brazil,15,20,20,101384
Speed,England,28,25,15,100140
